"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.84","18.159.95.247","DTLSv1.2","183","Application Model.Data"
"2","0.047308952","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"3","0.067265013","192.168.1.84","18.159.95.247","DTLSv1.2","183","Application Model.Data"
"4","0.089084739","192.168.1.84","18.159.95.247","DTLSv1.2","243","Application Model.Data"
"5","0.108206559","192.168.1.84","18.159.95.247","DTLSv1.2","247","Application Model.Data"
"6","0.114892871","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"7","0.117430392","192.168.1.84","18.159.95.247","DTLSv1.2","391","Application Model.Data"
"8","0.136155668","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"9","0.149992383","192.168.1.84","18.159.95.247","DTLSv1.2","403","Application Model.Data"
"10","0.155099932","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"11","0.160752692","192.168.1.84","18.159.95.247","DTLSv1.2","419","Application Model.Data"
"12","0.164224078","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"13","0.185109619","192.168.1.84","18.159.95.247","DTLSv1.2","411","Application Model.Data"
"14","0.194071856","192.168.1.84","18.159.95.247","STUN","206","Binding Request user: 0F4CAB80-8576-1437-82A6-05389DA03F88:BA42B961-03EC-7374-6990-A2CFED6E31B6"
"15","0.196570546","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"16","0.200815220","18.159.95.247","192.168.1.84","TLSv1.2","98","Application Model.Data"
"17","0.200869419","192.168.1.84","18.159.95.247","TCP","66","58872  >  443 [ACK] Seq=1 Ack=33 Win=501 Len=0 TSval=4087149311 TSecr=3043068731"
"18","0.202047781","192.168.1.84","18.159.95.247","TLSv1.2","102","Application Model.Data"
"19","0.203077428","192.168.1.84","18.159.95.247","DTLSv1.2","403","Application Model.Data"
"20","0.203149272","192.168.1.84","18.159.95.247","DTLSv1.2","143","Application Model.Data"
"21","0.207225050","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"22","0.220926193","192.168.1.84","18.159.95.247","DTLSv1.2","379","Application Model.Data"
"23","0.232424168","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"24","0.240565336","192.168.1.84","18.159.95.247","DTLSv1.2","375","Application Model.Data"
"25","0.241236725","18.159.95.247","192.168.1.84","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 94.61.228.206:8466"
"26","0.247524990","18.159.95.247","192.168.1.84","TCP","66","443  >  58872 [ACK] Seq=33 Ack=37 Win=243 Len=0 TSval=3043068777 TSecr=4087149312"
"27","0.249705188","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"28","0.249705298","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"29","0.249850142","192.168.1.84","18.159.95.247","STUN","206","Binding Request user: 3140F5BC-A532-1DDC-9F9B-06DEADF11F95:BA42B961-03EC-7374-6990-A2CFED6E31B6"
"30","0.267941811","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"31","0.280274479","192.168.1.84","18.159.95.247","DTLSv1.2","371","Application Model.Data"
"32","0.280852661","192.168.1.84","18.159.95.247","DTLSv1.2","391","Application Model.Data"
"33","0.287634720","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"34","0.297226613","18.159.95.247","192.168.1.84","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 94.61.228.206:8466"
"35","0.307875608","192.168.1.84","18.159.95.247","DTLSv1.2","383","Application Model.Data"
"36","0.326271913","192.168.1.84","18.159.95.247","DTLSv1.2","383","Application Model.Data"
"37","0.327429420","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"38","0.327430337","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"39","0.347105763","192.168.1.84","18.159.95.247","DTLSv1.2","371","Application Model.Data"
"40","0.354966751","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"41","0.373460445","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"42","0.375032813","192.168.1.84","18.159.95.247","DTLSv1.2","371","Application Model.Data"
"43","0.393863565","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"44","0.396682763","192.168.1.84","13.225.245.39","TCP","66","59380  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1614029115 TSecr=3229036348"
"45","0.406074761","192.168.1.84","18.159.95.247","DTLSv1.2","367","Application Model.Data"
"46","0.407020726","13.225.245.39","192.168.1.84","TCP","66","[TCP ACKed unseen segment] 443  >  59380 [ACK] Seq=1 Ack=2 Win=12 Len=0 TSval=3229081368 TSecr=1613984105"
"47","0.411799394","192.168.1.84","18.159.95.247","DTLSv1.2","363","Application Model.Data"
"48","0.415671588","192.168.1.84","18.159.95.247","DTLSv1.2","359","Application Model.Data"
"49","0.421296504","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"50","0.441771239","192.168.1.84","18.159.95.247","DTLSv1.2","355","Application Model.Data"
"51","0.443783218","192.168.1.84","192.168.1.1","DNS","85","Standard query 0xf04d PTR 84.1.168.192.in-addr.arpa"
"52","0.443852502","192.168.1.84","192.168.1.1","DNS","86","Standard query 0xe349 PTR 247.95.159.18.in-addr.arpa"
"53","0.446347946","192.168.1.1","192.168.1.84","DNS","109","Standard query response 0xf04d PTR 84.1.168.192.in-addr.arpa PTR wtv-pc.lan"
"54","0.452917275","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"55","0.458218039","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"56","0.461910043","192.168.1.84","18.159.95.247","DTLSv1.2","367","Application Model.Data"
"57","0.462772913","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"58","0.472939193","192.168.1.1","192.168.1.84","DNS","465","Standard query response 0xe349 PTR 247.95.159.18.in-addr.arpa PTR ec2-18-159-95-247.eu-central-1.compute.amazonaws.com NS ns-1704.awsdns-21.co.uk NS ns-983.awsdns-58.net NS ns-1430.awsdns-50.org NS ns-354.awsdns-44.com A 205.251.197.150 A 205.251.198.168 A 205.251.193.98 A 205.251.195.215 AAAA 2600:9000:5305:9600::1 AAAA 2600:9000:5306:a800::1 AAAA 2600:9000:5301:6200::1 AAAA 2600:9000:5303:d700::1"
"59","0.481746029","192.168.1.84","18.159.95.247","DTLSv1.2","367","Application Model.Data"
"60","0.489334570","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"61","0.500417236","18.159.95.247","192.168.1.84","TLSv1.2","106","Application Model.Data"
"62","0.500574211","192.168.1.84","18.159.95.247","TLSv1.2","110","Application Model.Data"
"63","0.501856207","192.168.1.84","18.159.95.247","DTLSv1.2","367","Application Model.Data"
"64","0.509283750","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"65","0.528594511","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"66","0.546881993","192.168.1.84","18.159.95.247","DTLSv1.2","351","Application Model.Data"
"67","0.547637620","18.159.95.247","192.168.1.84","TCP","66","443  >  58868 [ACK] Seq=41 Ack=45 Win=341 Len=0 TSval=3043069077 TSecr=4087149611"
"68","0.548380978","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"69","0.553977818","192.168.1.84","18.159.95.247","DTLSv1.2","347","Application Model.Data"
"70","0.560510837","192.168.1.84","18.159.95.247","DTLSv1.2","343","Application Model.Data"
"71","0.589144617","192.168.1.84","18.159.95.247","DTLSv1.2","347","Application Model.Data"
"72","0.594473050","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"73","0.596052660","192.168.1.84","18.159.95.247","DTLSv1.2","351","Application Model.Data"
"74","0.600676031","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"75","0.608609681","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"76","0.627539433","192.168.1.84","18.159.95.247","DTLSv1.2","351","Application Model.Data"
"77","0.633830798","192.168.1.84","18.159.95.247","DTLSv1.2","347","Application Model.Data"
"78","0.635996078","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"79","0.643065286","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"80","0.666922200","192.168.1.84","18.159.95.247","DTLSv1.2","343","Application Model.Data"
"81","0.673161564","192.168.1.84","18.159.95.247","DTLSv1.2","339","Application Model.Data"
"82","0.675194749","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"83","0.680491799","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"84","0.707273159","192.168.1.84","18.159.95.247","DTLSv1.2","363","Application Model.Data"
"85","0.723219623","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"86","0.723220526","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"87","0.727261601","192.168.1.84","18.159.95.247","DTLSv1.2","379","Application Model.Data"
"88","0.749076980","192.168.1.84","18.159.95.247","DTLSv1.2","243","Application Model.Data"
"89","0.754307713","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"90","0.762761856","192.168.1.84","18.159.95.247","DTLSv1.2","231","Application Model.Data"
"91","0.774232284","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"92","0.782994334","192.168.1.84","18.159.95.247","DTLSv1.2","239","Application Model.Data"
"93","0.795672013","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"94","0.803178334","192.168.1.84","18.159.95.247","DTLSv1.2","267","Application Model.Data"
"95","0.810026096","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"96","0.823941594","192.168.1.84","18.159.95.247","DTLSv1.2","375","Application Model.Data"
"97","0.826523148","192.168.1.84","18.159.95.247","DTLSv1.2","371","Application Model.Data"
"98","0.829678986","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"99","0.850134341","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"100","0.864095131","192.168.1.84","18.159.95.247","DTLSv1.2","343","Application Model.Data"
"101","0.872213057","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"102","0.873177998","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"103","0.883052384","192.168.1.84","18.159.95.247","DTLSv1.2","347","Application Model.Data"
"104","0.903827249","192.168.1.84","18.159.95.247","DTLSv1.2","367","Application Model.Data"
"105","0.912106494","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"106","0.924915668","192.168.1.84","18.159.95.247","DTLSv1.2","375","Application Model.Data"
"107","0.929886005","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"108","0.943505307","192.168.1.84","18.159.95.247","DTLSv1.2","355","Application Model.Data"
"109","0.950655858","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"110","0.964748007","192.168.1.84","18.159.95.247","DTLSv1.2","343","Application Model.Data"
"111","0.972216937","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"112","0.990694336","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"113","1.001070263","192.168.1.84","18.159.95.247","DTLSv1.2","359","Application Model.Data"
"114","1.002337451","192.168.1.84","18.159.95.247","DTLSv1.2","363","Application Model.Data"
"115","1.012091483","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"116","1.020678589","192.168.1.84","18.159.95.247","DTLSv1.2","347","Application Model.Data"
"117","1.040661668","192.168.1.84","18.159.95.247","DTLSv1.2","427","Application Model.Data"
"118","1.048380577","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"119","1.050671285","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"120","1.059907418","18.159.95.247","192.168.1.84","DTLSv1.2","103","Application Model.Data"
"121","1.060199934","192.168.1.84","18.159.95.247","DTLSv1.2","103","Application Model.Data"
"122","1.060746267","192.168.1.84","18.159.95.247","DTLSv1.2","427","Application Model.Data"
"123","1.066853362","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"124","1.080963614","192.168.1.84","18.159.95.247","DTLSv1.2","351","Application Model.Data"
"125","1.087856031","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"126","1.107350977","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"127","1.122584348","18.159.95.247","192.168.1.84","DTLSv1.2","103","Application Model.Data"
"128","1.123707266","192.168.1.84","18.159.95.247","DTLSv1.2","103","Application Model.Data"
"129","1.127862992","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
"130","1.128456004","192.168.1.84","18.159.95.247","DTLSv1.2","351","Application Model.Data"
"131","1.135927290","192.168.1.84","18.159.95.247","DTLSv1.2","347","Application Model.Data"
"132","1.144279929","192.168.1.84","18.159.95.247","DTLSv1.2","427","Application Model.Data"
"133","1.168057137","192.168.1.84","18.159.95.247","DTLSv1.2","415","Application Model.Data"
"134","1.169812989","18.159.95.247","192.168.1.84","DTLSv1.2","111","Application Model.Data"
"135","1.176720425","18.159.95.247","192.168.1.84","DTLSv1.2","99","Application Model.Data"
