"No.","Time","Source","Destination","Protocol","Length","Info"
"44","0.247124","2001:4860:4864:6::70","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","STUN","166","Binding Success Response user: ZSuHpLHeQ0zYPBwR:HNdv"
"45","0.262302","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","775","61402  >  19305 Len=713"
"46","0.264282","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","832","61402  >  19305 Len=770"
"47","0.267541","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","833","61402  >  19305 Len=771"
"48","0.274483","2001:4860:4864:6::70","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","124","19305  >  61402 Len=62"
"49","0.287233","192.168.1.71","239.255.255.250","UDP","501","1065  >  8082 Len=459"
"50","0.294043","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","140","61402  >  19305 Len=78"
"51","0.325098","2001:4860:4864:6::70","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","124","19305  >  61402 Len=62"
"52","0.337347","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","773","61402  >  19305 Len=711"
"53","0.337434","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","773","61402  >  19305 Len=711"
"54","0.342370","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1053","61402  >  19305 Len=991"
"55","0.343471","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1053","61402  >  19305 Len=991"
"56","0.347871","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1053","61402  >  19305 Len=991"
"57","0.354161","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1053","61402  >  19305 Len=991"
"58","0.358690","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","1053","61402  >  19305 Len=991"
"59","0.363992","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","550","61402  >  19305 Len=488"
"60","0.366328","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:4860:4864:6::70","UDP","795","61402  >  19305 Len=733"
