"No.","Time","Source","Destination","Protocol","Length","Info"
"1096","8.641355","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1207","54954  >  58748 Len=1145"
"1097","8.641356","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1207","54954  >  58748 Len=1145"
"1098","8.641550","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1207","54954  >  58748 Len=1145"
"1099","8.641662","192.168.1.79","94.61.172.27","STUN","138","Binding Request user: oB7n:L5oe"
"1100","8.641860","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","UDP","186","58748  >  54954 Len=124"
"1101","8.644266","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","UDP","108","58748  >  54954 Len=46"
"1102","8.651947","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1103","8.652100","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1104","8.652101","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","104","54954  >  58748 Len=42"
"1105","8.652102","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1106","8.661675","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","UDP","182","58748  >  54954 Len=120"
"1107","8.662989","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1108","8.662991","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1109","8.663150","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1110","8.663151","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","165","54954  >  58748 Len=103"
"1111","8.663152","94.61.172.27","192.168.1.79","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 188.250.85.250:53774"
"1112","8.663291","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1113","8.663292","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1114","8.663456","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1115","8.673574","94.61.172.27","192.168.1.79","STUN","138","Binding Request user: L5oe:oB7n"
"1116","8.673575","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1117","8.673886","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1118","8.673887","2001:818:ea03:7f00:f990:3b3d:59c4:b26d","2001:8a0:fe07:7800:bd1e:7fb5:db2:f993","UDP","1208","54954  >  58748 Len=1146"
"1119","8.673980","192.168.1.79","94.61.172.27","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 94.61.172.27:54956"
