"No.","Time","Source","Destination","Protocol","Length","Info"
"4696","21.288079197","134.224.218.112","192.168.1.109","UDP","1044","8801  >  55809 Len=1002"
"4697","21.288314087","192.168.1.109","134.224.218.112","UDP","1264","55809  >  8801 Len=1222"
"4698","21.288362862","192.168.1.109","134.224.218.112","UDP","1263","55809  >  8801 Len=1221"
"4699","21.296349282","192.168.1.109","134.224.218.112","UDP","1263","55809  >  8801 Len=1221"
"4700","21.296385015","192.168.1.109","134.224.218.112","UDP","1263","55809  >  8801 Len=1221"
"4701","21.296399177","192.168.1.109","134.224.218.112","UDP","132","52479  >  8801 Len=90"
"4702","21.297044969","134.224.218.112","192.168.1.109","UDP","133","8801  >  52479 Len=91"
"4703","21.307383100","192.168.1.109","134.224.218.112","UDP","1263","55809  >  8801 Len=1221"
"4704","21.307429188","192.168.1.109","134.224.218.112","UDP","1263","55809  >  8801 Len=1221"
"4705","21.308114645","134.224.218.112","192.168.1.109","UDP","1260","8801  >  55809 Len=1218"
"4706","21.308114915","134.224.218.112","192.168.1.109","UDP","1260","8801  >  55809 Len=1218"
"4707","21.316350380","134.224.218.112","192.168.1.109","UDP","135","8801  >  52479 Len=93"
"4708","21.316516535","192.168.1.109","134.224.218.112","UDP","1263","55809  >  8801 Len=1221"
"4709","21.317544633","192.168.1.109","134.224.218.112","UDP","106","52479  >  8801 Len=64"
"4710","21.317548607","134.224.218.112","192.168.1.109","UDP","1259","8801  >  55809 Len=1217"
"4711","21.317548774","134.224.218.112","192.168.1.109","UDP","1259","8801  >  55809 Len=1217"
"4712","21.317578736","192.168.1.109","134.224.218.112","UDP","132","52479  >  8801 Len=90"
"4713","21.328570720","134.224.218.112","192.168.1.109","UDP","1259","8801  >  55809 Len=1217"
"4714","21.328570967","134.224.218.112","192.168.1.109","UDP","1287","8801  >  55809 Len=1245"
"4715","21.333509734","192.168.1.109","134.224.218.112","UDP","1218","55809  >  8801 Len=1176"
"4716","21.333551502","192.168.1.109","134.224.218.112","UDP","1217","55809  >  8801 Len=1175"
"4717","21.333747004","192.168.1.109","134.224.218.112","TLSv1.2","662","Application Data"
"4718","21.334817577","192.168.1.109","134.224.218.112","UDP","143","52479  >  8801 Len=101"
"4719","21.338340275","134.224.218.112","192.168.1.109","UDP","1036","8801  >  55809 Len=994"
"4720","21.338340543","134.224.218.112","192.168.1.109","UDP","1036","8801  >  55809 Len=994"
"4721","21.348185209","134.224.218.112","192.168.1.109","UDP","1036","8801  >  55809 Len=994"
"4722","21.348185423","134.224.218.112","192.168.1.109","UDP","1036","8801  >  55809 Len=994"
"4723","21.348350169","192.168.1.109","134.224.218.112","UDP","1217","55809  >  8801 Len=1175"
"4724","21.348385873","192.168.1.109","134.224.218.112","UDP","1217","55809  >  8801 Len=1175"
"4725","21.350147427","134.224.218.112","192.168.1.109","TCP","66","443  >  37280 [ACK] Seq=7091 Ack=4842 Win=16 Len=0 TSval=3509069060 TSecr=2732756088"
"4726","21.357807065","192.168.1.109","134.224.218.112","UDP","1217","55809  >  8801 Len=1175"
"4727","21.357844379","192.168.1.109","134.224.218.112","UDP","146","52479  >  8801 Len=104"
"4728","21.358003705","134.224.218.112","192.168.1.109","UDP","133","8801  >  52479 Len=91"
"4729","21.358003911","134.224.218.112","192.168.1.109","UDP","135","8801  >  52479 Len=93"
"4730","21.368833695","134.224.218.112","192.168.1.109","UDP","1169","8801  >  55809 Len=1127"
"4731","21.368833999","134.224.218.112","192.168.1.109","UDP","1169","8801  >  55809 Len=1127"
"4732","21.377753399","192.168.1.109","134.224.218.112","UDP","140","52479  >  8801 Len=98"
"4733","21.378495552","134.224.218.112","192.168.1.109","UDP","1168","8801  >  55809 Len=1126"
"4734","21.378501628","134.224.218.112","192.168.1.109","UDP","1168","8801  >  55809 Len=1126"
"4735","21.389143687","134.224.218.112","192.168.1.109","UDP","1168","8801  >  55809 Len=1126"
"4736","21.389143969","134.224.218.112","192.168.1.109","UDP","1196","8801  >  55809 Len=1154"
"4737","21.395590066","192.168.1.109","134.224.218.112","UDP","1175","55809  >  8801 Len=1133"
"4738","21.395622907","192.168.1.109","134.224.218.112","UDP","1175","55809  >  8801 Len=1133"
"4739","21.395634833","192.168.1.109","134.224.218.112","UDP","145","52479  >  8801 Len=103"
"4740","21.397562619","134.224.218.112","192.168.1.109","UDP","155","8801  >  52479 Len=113"
"4741","21.398684119","134.224.218.112","192.168.1.109","UDP","1202","8801  >  55809 Len=1160"
"4742","21.398684274","134.224.218.112","192.168.1.109","UDP","1201","8801  >  55809 Len=1159"
"4743","21.408981100","192.168.1.109","134.224.218.112","UDP","1175","55809  >  8801 Len=1133"
"4744","21.409012525","192.168.1.109","134.224.218.112","UDP","1175","55809  >  8801 Len=1133"
"4745","21.409676364","134.224.218.112","192.168.1.109","UDP","1201","8801  >  55809 Len=1159"
"4746","21.415629212","192.168.1.109","134.224.218.112","UDP","1175","55809  >  8801 Len=1133"
"4747","21.415664520","192.168.1.109","134.224.218.112","UDP","1174","55809  >  8801 Len=1132"
"4748","21.415675872","192.168.1.109","134.224.218.112","UDP","139","52479  >  8801 Len=97"
