"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:4860:4864:6::70","2001:818:ea8d:1500:9a2:8687:28ad:13a4","UDP","120","19305  >  60143 Len=58"
"2","0.035656432","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","549","60143  >  19305 Len=487"
"3","0.050418687","2001:4860:4864:6::70","2001:818:ea8d:1500:9a2:8687:28ad:13a4","UDP","120","19305  >  60143 Len=58"
"4","0.059330763","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80c::200a","TCP","86","48178  >  443 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1522071027 TSecr=3547838559"
"5","0.070295011","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","745","60143  >  19305 Len=683"
"6","0.070365516","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","746","60143  >  19305 Len=684"
"7","0.077657090","2a00:1450:4003:80c::200a","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","[TCP ACKed unseen segment] 443  >  48178 [ACK] Seq=1 Ack=2 Win=261 Len=0 TSval=3547884639 TSecr=1521978671"
"8","0.098725083","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","571","60143  >  19305 Len=509"
"9","0.101445457","2001:4860:4864:6::70","2001:818:ea8d:1500:9a2:8687:28ad:13a4","UDP","120","19305  >  60143 Len=58"
"10","0.144877742","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","UDP","781","60143  >  19305 Len=719"
"11","0.152453032","2001:4860:4864:6::70","2001:818:ea8d:1500:9a2:8687:28ad:13a4","UDP","124","19305  >  60143 Len=62"
"12","0.203671761","2001:4860:4864:6::70","2001:818:ea8d:1500:9a2:8687:28ad:13a4","UDP","120","19305  >  60143 Len=58"
