"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.55.2.244","224.0.0.1","IGMPv3","50","Membership Query, general"
"2","1.294789982","192.168.1.84","192.168.1.1","DNS","84","Standard query 0x9f73 PTR 244.2.55.10.in-addr.arpa"
"3","1.294837992","192.168.1.84","192.168.1.1","DNS","82","Standard query 0xcbf7 PTR 1.0.0.224.in-addr.arpa"
"4","1.308592743","192.168.1.1","192.168.1.84","DNS","134","Standard query response 0x9f73 No such name PTR 244.2.55.10.in-addr.arpa SOA 10.IN-ADDR.ARPA"
"5","1.308593516","192.168.1.1","192.168.1.84","DNS","380","Standard query response 0xcbf7 PTR 1.0.0.224.in-addr.arpa PTR all-systems.mcast.net NS a.iana-servers.net NS ns.icann.org NS c.iana-servers.net NS b.iana-servers.net A 199.43.135.53 A 199.43.133.53 A 199.43.134.53 A 199.4.138.53 AAAA 2001:500:8f::53 AAAA 2001:500:8d::53 AAAA 2001:500:8e::53 AAAA 2001:500:89::53"
"6","1.771690903","192.168.1.84","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"7","2.295118649","192.168.1.84","192.168.1.1","DNS","85","Standard query 0xe59d PTR 84.1.168.192.in-addr.arpa"
"8","2.295168571","192.168.1.84","192.168.1.1","DNS","84","Standard query 0x8385 PTR 1.1.168.192.in-addr.arpa"
"9","2.297876530","192.168.1.1","192.168.1.84","DNS","109","Standard query response 0xe59d PTR 84.1.168.192.in-addr.arpa PTR wtv-pc.lan"
"10","2.297876812","192.168.1.1","192.168.1.84","DNS","108","Standard query response 0x8385 PTR 1.1.168.192.in-addr.arpa PTR vodafonegw"
"11","3.295471823","192.168.1.84","192.168.1.1","DNS","83","Standard query 0x67ad PTR 22.0.0.224.in-addr.arpa"
"12","3.303968844","192.168.1.1","192.168.1.84","DNS","330","Standard query response 0x67ad PTR 22.0.0.224.in-addr.arpa PTR igmp.mcast.net NS b.iana-servers.net NS a.iana-servers.net NS ns.icann.org NS c.iana-servers.net A 199.4.138.53 A 199.43.135.53 A 199.43.134.53 AAAA 2001:500:89::53 AAAA 2001:500:8d::53 AAAA 2001:500:8f::53"
"13","3.310452031","192.168.1.83","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"14","4.294735335","192.168.1.84","192.168.1.1","DNS","85","Standard query 0x4849 PTR 83.1.168.192.in-addr.arpa"
"15","4.294814388","192.168.1.84","192.168.1.1","DNS","84","Standard query 0x5d2c PTR 251.0.0.224.in-addr.arpa"
