"No.","Time","Source","Destination","Protocol","Length","Info"
"5575","24.660389","192.168.1.79","18.159.220.26","DTLSv1.2","923","Application Data"
"5576","24.660540","192.168.1.79","18.159.220.26","DTLSv1.2","971","Application Data"
"5577","24.660702","192.168.1.79","18.159.220.26","DTLSv1.2","971","Application Data"
"5578","24.663545","18.159.220.26","192.168.1.79","TLSv1.2","116","Application Data"
"5579","24.663631","192.168.1.79","18.159.220.26","TCP","66","49432  >  443 [ACK] Seq=325 Ack=5037 Win=2048 Len=0 TSval=938450709 TSecr=3092176107"
"5580","24.665498","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5581","24.667134","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5582","24.667135","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5583","24.667136","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5584","24.667136","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5585","24.701481","192.168.1.79","18.159.220.26","DTLSv1.2","971","Application Data"
"5586","24.701576","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5587","24.701662","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5588","24.701737","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5589","24.701846","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5590","24.712504","18.159.220.26","192.168.1.79","DTLSv1.2","1191","Application Data"
"5591","24.712506","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5592","24.712506","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5593","24.712507","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5594","24.724862","18.159.220.26","192.168.1.79","DTLSv1.2","1191","Application Data"
"5595","24.725312","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5596","24.742138","192.168.1.79","18.159.220.26","DTLSv1.2","899","Application Data"
"5597","24.742206","192.168.1.79","18.159.220.26","DTLSv1.2","975","Application Data"
"5598","24.742321","192.168.1.79","18.159.220.26","DTLSv1.2","975","Application Data"
"5599","24.745038","18.159.220.26","192.168.1.79","DTLSv1.2","1191","Application Data"
"5600","24.745039","18.159.220.26","192.168.1.79","DTLSv1.2","1139","Application Data"
"5601","24.745070","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5602","24.745421","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5603","24.765055","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5604","24.765056","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5605","24.765057","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5606","24.765100","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5607","24.765101","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5608","24.765101","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5609","24.765101","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5610","24.765471","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5611","24.784975","192.168.1.79","18.159.220.26","DTLSv1.2","991","Application Data"
"5612","24.785106","192.168.1.79","18.159.220.26","DTLSv1.2","927","Application Data"
"5613","24.785191","192.168.1.79","18.159.220.26","DTLSv1.2","927","Application Data"
"5614","24.785318","192.168.1.79","18.159.220.26","DTLSv1.2","927","Application Data"
"5615","24.785369","192.168.1.79","18.159.220.26","DTLSv1.2","927","Application Data"
"5616","24.797078","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5617","24.797079","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5618","24.797079","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5619","24.824408","192.168.1.79","18.159.220.26","DTLSv1.2","927","Application Data"
"5620","24.824483","192.168.1.79","18.159.220.26","DTLSv1.2","943","Application Data"
"5621","24.824598","192.168.1.79","18.159.220.26","DTLSv1.2","943","Application Data"
"5622","24.835106","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5623","24.835283","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5624","24.835284","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5625","24.835462","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5626","24.835557","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5627","24.835776","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5628","24.839767","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5629","24.839769","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5630","24.839769","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5631","24.839769","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5632","24.839770","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5633","24.854191","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5634","24.854192","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5635","24.854634","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5636","24.865609","192.168.1.79","18.159.220.26","DTLSv1.2","943","Application Data"
"5637","24.865676","192.168.1.79","18.159.220.26","DTLSv1.2","907","Application Data"
"5638","24.865857","192.168.1.79","18.159.220.26","DTLSv1.2","903","Application Data"
"5639","24.865939","192.168.1.79","18.159.220.26","DTLSv1.2","903","Application Data"
"5640","24.866137","192.168.1.79","18.159.220.26","DTLSv1.2","903","Application Data"
"5641","24.875699","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5642","24.875889","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5643","24.875890","18.159.220.26","192.168.1.79","DTLSv1.2","1135","Application Data"
"5644","24.876045","18.159.220.26","192.168.1.79","DTLSv1.2","1167","Application Data"
"5645","24.876202","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5646","24.876256","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5647","24.879627","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5648","24.879628","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5649","24.879628","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5650","24.895059","18.159.220.26","192.168.1.79","DTLSv1.2","1095","Application Data"
"5651","24.895060","18.159.220.26","192.168.1.79","DTLSv1.2","1095","Application Data"
"5652","24.895503","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5653","24.906230","192.168.1.79","18.159.220.26","DTLSv1.2","903","Application Data"
"5654","24.906285","192.168.1.79","18.159.220.26","DTLSv1.2","1099","Application Data"
"5655","24.906331","192.168.1.79","18.159.220.26","DTLSv1.2","1099","Application Data"
"5656","24.908094","18.159.220.26","192.168.1.79","DTLSv1.2","103","Application Data"
"5657","24.908326","192.168.1.79","18.159.220.26","DTLSv1.2","103","Application Data"
"5658","24.919812","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5659","24.919813","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5660","24.919814","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5661","24.919814","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5662","24.919815","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5663","24.921599","18.159.220.26","192.168.1.79","DTLSv1.2","103","Application Data"
"5664","24.921895","192.168.1.79","18.159.220.26","DTLSv1.2","103","Application Data"
"5665","24.925128","18.159.220.26","192.168.1.79","TLSv1.2","116","Application Data"
"5666","24.925220","192.168.1.79","18.159.220.26","TCP","66","49432  >  443 [ACK] Seq=325 Ack=5087 Win=2048 Len=0 TSval=938450970 TSecr=3092176368"
"5667","24.948287","192.168.1.79","18.159.220.26","DTLSv1.2","1099","Application Data"
"5668","24.948336","192.168.1.79","18.159.220.26","DTLSv1.2","947","Application Data"
"5669","24.948377","192.168.1.79","18.159.220.26","DTLSv1.2","947","Application Data"
"5670","24.948530","192.168.1.79","18.159.220.26","DTLSv1.2","947","Application Data"
"5671","24.948631","192.168.1.79","18.159.220.26","DTLSv1.2","947","Application Data"
"5672","24.968438","18.159.220.26","192.168.1.79","DTLSv1.2","1095","Application Data"
"5673","24.968621","18.159.220.26","192.168.1.79","DTLSv1.2","1095","Application Data"
"5674","24.968621","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5675","24.968621","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5676","24.968622","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5677","24.968766","18.159.220.26","192.168.1.79","DTLSv1.2","1095","Application Data"
"5678","24.968788","18.159.220.26","192.168.1.79","DTLSv1.2","1095","Application Data"
"5679","24.968789","18.159.220.26","192.168.1.79","DTLSv1.2","111","Application Data"
"5680","24.968941","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5681","24.969146","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5682","24.988273","192.168.1.79","18.159.220.26","DTLSv1.2","963","Application Data"
"5683","24.988322","192.168.1.79","18.159.220.26","DTLSv1.2","951","Application Data"
"5684","24.988369","192.168.1.79","18.159.220.26","DTLSv1.2","947","Application Data"
"5685","24.989839","18.159.220.26","192.168.1.79","DTLSv1.2","1095","Application Data"
"5686","24.989840","18.159.220.26","192.168.1.79","DTLSv1.2","1095","Application Data"
"5687","24.990234","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5688","25.000486","18.159.220.26","192.168.1.79","DTLSv1.2","1095","Application Data"
"5689","25.000686","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5690","25.000687","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5691","25.000847","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5692","25.001043","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5693","25.001234","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5694","25.002588","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5695","25.003886","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5696","25.003887","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5697","25.003887","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5698","25.003888","18.159.220.26","192.168.1.79","DTLSv1.2","99","Application Data"
"5699","25.003888","18.159.220.26","192.168.1.79","DTLSv1.2","111","Application Data"
"5700","25.009556","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5701","25.009557","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5702","25.009558","18.159.220.26","192.168.1.79","TLSv1.2","98","Application Data"
"5703","25.009727","192.168.1.79","18.159.220.26","TCP","66","49427  >  443 [ACK] Seq=253 Ack=329 Win=2048 Len=0 TSval=938451053 TSecr=3092176452"
"5704","25.010068","192.168.1.79","18.159.220.26","TLSv1.2","102","Application Data"
"5705","25.010160","192.168.1.79","18.159.220.26","DTLSv1.2","99","Application Data"
"5706","25.027616","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
"5707","25.027617","18.159.220.26","192.168.1.79","DTLSv1.2","1199","Application Data"
